Aria | Composer | Opera | Voice | Filename
----------------------------------------------------------------------------------------------------
Era pura come in cielo | Donizetti, Gaetano | Adelia, ossia La figlia dell'arciere | Bass | Era pura come in cielo.pdf
Ah! Non è non è tal nome | Donizetti, Gaetano | Adelia, ossia La figlia dell'arciere | Soprano | Ah! Non è non è tal nome.pdf
Ecco a tuoi piedi io cado | Donizetti, Gaetano | Adelia, ossia La figlia dell'arciere | Soprano | Ecco a tuoi piedi io cado.pdf
Fui presaga ah tu lo vedi | Donizetti, Gaetano | Adelia, ossia La figlia dell'arciere | Soprano | Fui presaga ah tu lo vedi.pdf
M'ingannò la mia speranza | Donizetti, Gaetano | Adelia, ossia La figlia dell'arciere | Tenor | M'ingannò la mia speranza.pdf
Oh! Come dolce all'anima | Donizetti, Gaetano | Alina, regina di Golconda | Baritone | Oh! Come dolce all'anima.pdf
Io sognai che disperato | Donizetti, Gaetano | Alina, regina di Golconda | Bass | Io sognai che disperato.pdf
Che val ricchezza e trono | Donizetti, Gaetano | Alina, regina di Golconda | Mezzo-soprano | Che val ricchezza e trono.pdf
Se il valor vostro, o prodi | Donizetti, Gaetano | Alina, regina di Golconda | Mezzo-soprano | Se il valor vostro, o prodi.pdf
Dunque invan mi lusingai | Donizetti, Gaetano | Alina, regina di Golconda | Tenor | Dunque invan mi lusingai.pdf
Se valor, rispetto e fede | Donizetti, Gaetano | Alina, regina di Golconda | Tenor | Se valor, rispetto e fede.pdf
Ah! Parea che per incanto | Donizetti, Gaetano | Anna Bolena | Mezzo-soprano | Ah! Parea che per incanto.pdf
Deh! Non voler costringere | Donizetti, Gaetano | Anna Bolena | Mezzo-soprano | Deh! Non voler costringere.pdf
Per questa fiamma indomita | Donizetti, Gaetano | Anna Bolena | Mezzo-soprano | Per questa fiamma indomita.pdf
Al dolce guidami castel natio | Donizetti, Gaetano | Anna Bolena | Soprano | Al dolce guidami castel natio.pdf
Come innocente giovane…Non v'ha sguardo | Donizetti, Gaetano | Anna Bolena | Soprano | Come innocente giovane…Non v'ha sguardo.pdf
Da quel dì che lei perduta… Ah! Cosi nei di ridenti | Donizetti, Gaetano | Anna Bolena | Tenor | Da quel dì che lei perduta… Ah! Cosi nei di ridenti.pdf
Vivi tu, te ne scongiuro… Nel veder la tua costanza | Donizetti, Gaetano | Anna Bolena | Tenor | Vivi tu, te ne scongiuro… Nel veder la tua costanza.pdf
Da quel di che l'innocente | Donizetti, Gaetano | Belisario | Soprano | Da quel di che l'innocente.pdf
