Aria | Composer | Opera | Voice | Filename
----------------------------------------------------------------------------------------------------
Fragolette fortunate | Rossini, Gioachino | Adina | Check (Adina) | Fragolette fortunate.pdf
D'amore al dolce impero | Rossini, Gioachino | Armida | Soprano | D'amore al dolce impero.pdf
Se al mio crudel tormento | Rossini, Gioachino | Armida | Soprano | Se al mio crudel tormento.pdf
Non soffriro loffesa | Rossini, Gioachino | Armida | Tenor | Non soffriro loffesa.pdf
Perche mai le luci a primmo... Non lasciarmi in tal momento | Rossini, Gioachino | Aureliano in Palmira | Check (Arsace) | Perche mai le luci a primmo... Non lasciarmi in tal momento.pdf
Stava dirà la terra | Rossini, Gioachino | Aureliano in Palmira | Bass | Stava dirà la terra.pdf
Non mi lagno che il mio bene | Rossini, Gioachino | Aureliano in Palmira | Mezzo-soprano | Non mi lagno che il mio bene.pdf
La pugnai la sor te arrise | Rossini, Gioachino | Aureliano in Palmira | Soprano | La pugnai la sor te arrise.pdf
Eccomi ingiusti Numi... Chi sa dirmi, o mia speranza | Rossini, Gioachino | Aureliano in Palmira | Tenor | Eccomi ingiusti Numi... Chi sa dirmi, o mia speranza.pdf
Piu non vedrai quel perfido | Rossini, Gioachino | Aureliano in Palmira | Tenor | Piu non vedrai quel perfido.pdf
Romani a voi sol tanto | Rossini, Gioachino | Aureliano in Palmira | Tenor | Romani a voi sol tanto.pdf
Alma ben mio si pura | Rossini, Gioachino | Bianca e Falliero, ossia Il consiglio dei tre | Mezzo-soprano | Alma ben mio si pura.pdf
Se per l'Adria il ferro strinsi | Rossini, Gioachino | Bianca e Falliero, ossia Il consiglio dei tre | Mezzo-soprano | Se per l'Adria il ferro strinsi.pdf
Tu non sai qual colpo atroce | Rossini, Gioachino | Bianca e Falliero, ossia Il consiglio dei tre | Mezzo-soprano | Tu non sai qual colpo atroce.pdf
Della rosa il bel vermiglio | Rossini, Gioachino | Bianca e Falliero, ossia Il consiglio dei tre | Soprano | Della rosa il bel vermiglio.pdf
Sappi che un rio dovere | Rossini, Gioachino | Bianca e Falliero, ossia Il consiglio dei tre | Soprano | Sappi che un rio dovere.pdf
Teco io resto in te rispetta | Rossini, Gioachino | Bianca e Falliero, ossia Il consiglio dei tre | Soprano | Teco io resto in te rispetta.pdf
Pensa che omai resistere | Rossini, Gioachino | Bianca e Falliero, ossia Il consiglio dei tre | Tenor | Pensa che omai resistere.pdf
Come sperar riposo | Rossini, Gioachino | Demetrio e Polibio | Bass | Come sperar riposo.pdf
Perdon ti chiedo o Padre | Rossini, Gioachino | Demetrio e Polibio | Contralto | Perdon ti chiedo o Padre.pdf
Pien di contento in seno | Rossini, Gioachino | Demetrio e Polibio | Contralto | Pien di contento in seno.pdf
Alla pompa m'appresso | Rossini, Gioachino | Demetrio e Polibio | Soprano | Alla pompa m'appresso.pdf
Mi scende sull'alma un dolce sopore | Rossini, Gioachino | Demetrio e Polibio | Soprano | Mi scende sull'alma un dolce sopore.pdf
Sempre teco ognor contenta | Rossini, Gioachino | Demetrio e Polibio | Soprano | Sempre teco ognor contenta.pdf
Superbo, ah! tu vedrai | Rossini, Gioachino | Demetrio e Polibio | Soprano | Superbo, ah! tu vedrai.pdf
All'alta impresa | Rossini, Gioachino | Demetrio e Polibio | Tenor | All'alta impresa.pdf
Lungi dal figlio amato | Rossini, Gioachino | Demetrio e Polibio | Tenor | Lungi dal figlio amato.pdf
Presento in questi doni | Rossini, Gioachino | Demetrio e Polibio | Tenor | Presento in questi doni.pdf
Questa man | Rossini, Gioachino | Eduardo e Cristina | Bass | Questa man.pdf
Lieta voce | Rossini, Gioachino | Eduardo e Cristina | Soprano | Lieta voce.pdf
D'esempio all' alme infide | Rossini, Gioachino | Eduardo e Cristina | Tenor | D'esempio all' alme infide.pdf
La pietà che in sen serbate | Rossini, Gioachino | Eduardo e Cristina | Mezzo-soprano | La pietà che in sen serbate.pdf
Si possente è nel mio petto | Rossini, Gioachino | Eduardo e Cristina | Mezzo-soprano | Si possente è nel mio petto.pdf
Quant'è grato all' alma mia | Rossini, Gioachino | Elisabetta, regina d'Inghilterra | Check (Elisabetta) | Quant'è grato all' alma mia.pdf
Sento un'interna voce | Rossini, Gioachino | Elisabetta, regina d'Inghilterra | Soprano | Sento un'interna voce.pdf
Sois immobile | Rossini, Gioachino | Guillaume Tell | Check (Guillaume Tell) | Sois immobile.pdf
Pour notre amour…Sur la rive étrangère | Rossini, Gioachino | Guillaume Tell | Soprano | Pour notre amour…Sur la rive étrangère.pdf
Sombre foret | Rossini, Gioachino | Guillaume Tell | Soprano | Sombre foret.pdf
Ne m'abandonne point... Asile héreditaire | Rossini, Gioachino | Guillaume Tell | Tenor | Ne m'abandonne point... Asile héreditaire.pdf
Largo al factotum | Rossini, Gioachino | Il barbiere di Siviglia | Check (Figaro) | Largo al factotum.pdf
La Calunnia | Rossini, Gioachino | Il barbiere di Siviglia | Bass | La Calunnia.pdf
A un dottor dell mia sorte | Rossini, Gioachino | Il barbiere di Siviglia | Bass | A un dottor dell mia sorte.pdf
Manca un foglio | Rossini, Gioachino | Il barbiere di Siviglia | Bass | Manca un foglio.pdf
Il vecchiotto cerca moglie | Rossini, Gioachino | Il barbiere di Siviglia | Soprano | Il vecchiotto cerca moglie.pdf
Contro un cor che accende amore | Rossini, Gioachino | Il barbiere di Siviglia | Check (Rosina) | Contro un cor che accende amore.pdf
Una voce poco fa | Rossini, Gioachino | Il barbiere di Siviglia | Check (Rosina) | Una voce poco fa.pdf
E tu, infelice ... Ah, il più lieto | Rossini, Gioachino | Il barbiere di Siviglia | Check (Count Almaviva) | E tu, infelice ... Ah, il più lieto.pdf
Ecco ridente in cielo | Rossini, Gioachino | Il barbiere di Siviglia | Check (Count Almaviva) | Ecco ridente in cielo.pdf
Se il mio nome saper voi bramate | Rossini, Gioachino | Il barbiere di Siviglia | Check (Count Almaviva) | Se il mio nome saper voi bramate.pdf
Ho la testa, o è andata via? | Rossini, Gioachino | Il signor Bruschino, ossia Il figlio per azzardo | Baritone | Ho la testa, o è andata via.pdf
Nel teatro del gran mondo | Rossini, Gioachino | Il signor Bruschino, ossia Il figlio per azzardo | Baritone | Nel teatro del gran mondo.pdf
Ah donate il caro sposo | Rossini, Gioachino | Il signor Bruschino, ossia Il figlio per azzardo | Soprano | Ah donate il caro sposo.pdf
Vado in traccia d'una Zingara... Ah! mia moglie! | Rossini, Gioachino | Il turco in Italia | Check (Geronio) | Vado in traccia d'una Zingara... Ah! mia moglie!.pdf
Bella Italia! | Rossini, Gioachino | Il turco in Italia | Check (Selim) | Bella Italia!.pdf
Non si da follia maggiore | Rossini, Gioachino | Il turco in Italia | Check (Fiorilla) | Non si da follia maggiore.pdf
Qual colpo, ohime... Squallida veste e bruna | Rossini, Gioachino | Il turco in Italia | Check (Fiorilla) | Qual colpo, ohime... Squallida veste e bruna.pdf
Tu seconda il mio disengo | Rossini, Gioachino | Il turco in Italia | Check (Narciso) | Tu seconda il mio disengo.pdf
Un vago sembiante | Rossini, Gioachino | Il turco in Italia | Check (Narciso) | Un vago sembiante.pdf
Nube di sangue intrisa | Rossini, Gioachino | L'assedio di Corinto | Bass | Nube di sangue intrisa.pdf
Duce di tanti eroi | Rossini, Gioachino | L'assedio di Corinto | Bass | Duce di tanti eroi.pdf
Dal soggiorno degli estinti | Rossini, Gioachino | L'assedio di Corinto | Soprano | Dal soggiorno degli estinti.pdf
Giusto ciel! in tal periglio | Rossini, Gioachino | L'assedio di Corinto | Soprano | Giusto ciel! in tal periglio.pdf
E fia ver, mio signor | Rossini, Gioachino | L'assedio di Corinto | Mezzo-soprano | E fia ver, mio signor.pdf
Occhietti miei vezzosi | Rossini, Gioachino | L'equivoco stravagante | Bass | Occhietti miei vezzosi.pdf
Il mio germe, che di Pallade | Rossini, Gioachino | L'equivoco stravagante | Bass | Il mio germe, che di Pallade.pdf
Mentre stava a testa ritta | Rossini, Gioachino | L'equivoco stravagante | Bass | Mentre stava a testa ritta.pdf
Parla, favella, e poi | Rossini, Gioachino | L'equivoco stravagante | Bass | Parla, favella, e poi.pdf
Nel core un vuoto io provo | Rossini, Gioachino | L'equivoco stravagante | Mezzo-soprano | Nel core un vuoto io provo.pdf
Se per te lieta ritorno | Rossini, Gioachino | L'equivoco stravagante | Mezzo-soprano | Se per te lieta ritorno.pdf
Quel furbarel d'amore | Rossini, Gioachino | L'equivoco stravagante | Mezzo-soprano | Quel furbarel d'amore.pdf
D'un tenero ardore | Rossini, Gioachino | L'equivoco stravagante | Tenor | D'un tenero ardore.pdf
Sento da mille furie | Rossini, Gioachino | L'equivoco stravagante | Tenor | Sento da mille furie.pdf
Vedrai fra poco nascere | Rossini, Gioachino | L'equivoco stravagante | Tenor | Vedrai fra poco nascere.pdf
Taci la notte amica | Rossini, Gioachino | L'inganno felice | Baritone | Taci la notte amica.pdf
Una voce m'ha colpito | Rossini, Gioachino | L'inganno felice | Baritone | Una voce m'ha colpito.pdf
Tu mi conosci | Rossini, Gioachino | L'inganno felice | Bass | Tu mi conosci.pdf
Se pietade inseno avete | Rossini, Gioachino | L'inganno felice | Soprano | Se pietade inseno avete.pdf
Quel tenero diletto | Rossini, Gioachino | L'inganno felice | Tenor | Quel tenero diletto.pdf
Già d'insolito ardore | Rossini, Gioachino | L'italiana in Algeri | Check (Mustafa) | Già d'insolito ardore.pdf
Ho un gran peso | Rossini, Gioachino | L'italiana in Algeri | Check (Taddeo) | Ho un gran peso.pdf
Amici, in ogni evento…Pensa alla patria | Rossini, Gioachino | L'italiana in Algeri | Mezzo-soprano | Amici, in ogni evento…Pensa alla patria.pdf
Cruda sorte | Rossini, Gioachino | L'italiana in Algeri | Mezzo-soprano | Cruda sorte.pdf
Fra questi luoghi barbari | Rossini, Gioachino | L'italiana in Algeri | Mezzo-soprano | Fra questi luoghi barbari.pdf
Ah come il cor di giubilo | Rossini, Gioachino | L'italiana in Algeri | Check (Lindoro) | Ah come il cor di giubilo.pdf
Languir per una bella | Rossini, Gioachino | L'italiana in Algeri | Check (Lindoro) | Languir per una bella.pdf
Sofframor per qualche istante | Rossini, Gioachino | L'italiana in Algeri | Check (Lindoro) | Sofframor per qualche istante.pdf
Il mio padrone e un uomo | Rossini, Gioachino | L'occasione fa il ladro | Bass | Il mio padrone e un uomo.pdf
Vicino e il momento che sposa saro | Rossini, Gioachino | L'occasione fa il ladro | Soprano | Vicino e il momento che sposa saro.pdf
D'ogni piu sacro impegno | Rossini, Gioachino | L'occasione fa il ladro | Tenor | D'ogni piu sacro impegno.pdf
Grazie... grazie | Rossini, Gioachino | La cambiale di matrimonio | Baritone | Grazie... grazie.pdf
Chi mai trova il dritto, il fondo Mill | Rossini, Gioachino | La cambiale di matrimonio | Bass | Chi mai trova il dritto, il fondo Mill.pdf
Anch'io son giovane | Rossini, Gioachino | La cambiale di matrimonio | Mezzo-soprano | Anch'io son giovane.pdf
Vorrei spiegarvi il giubilo | Rossini, Gioachino | La cambiale di matrimonio | Soprano | Vorrei spiegarvi il giubilo.pdf
Come un'ape ne'giorni d'aprile | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Baritone | Come un'ape ne'giorni d'aprile.pdf
Vasto teatro è il mondo | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Check (Alidoro) | Vasto teatro è il mondo.pdf
Intendente..reggitor? | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Bass | Intendente..reggitor.pdf
Miei rampolli femminini | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Bass | Miei rampolli femminini.pdf
Sia qualunque delle figlie | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Bass | Sia qualunque delle figlie.pdf
Nacqui all'affanno, al pianto | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Mezzo-soprano | Nacqui all'affanno, al pianto.pdf
Non più mesta | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Mezzo-soprano | Non più mesta.pdf
Una volta c'era un re | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Mezzo-soprano | Una volta c'era un re.pdf
Sventurata! mi credea | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Soprano | Sventurata! mi credea.pdf
Si, ritrovarla io giuro | Rossini, Gioachino | La Cenerentola, ossia La bontà in trionfo | Tenor | Si, ritrovarla io giuro.pdf
Taci lo voglio | Rossini, Gioachino | La donna del lago | Bass | Taci lo voglio.pdf
Ah si pera | Rossini, Gioachino | La donna del lago | Mezzo-soprano | Ah si pera.pdf
La mia spada | Rossini, Gioachino | La donna del lago | Mezzo-soprano | La mia spada.pdf
Mura felici | Rossini, Gioachino | La donna del lago | Mezzo-soprano | Mura felici.pdf
Oh mattutini albori | Rossini, Gioachino | La donna del lago | Soprano | Oh mattutini albori.pdf
Tanti affetti in tal momento | Rossini, Gioachino | La donna del lago | Soprano | Tanti affetti in tal momento.pdf
Aurora! Ah sorgerai | Rossini, Gioachino | La donna del lago | Tenor | Aurora! Ah sorgerai.pdf
O fiamma soave | Rossini, Gioachino | La donna del lago | Tenor | O fiamma soave.pdf
Accusata di furto... oh rossore! | Rossini, Gioachino | La gazza ladra | Tenor | Accusata di furto... oh rossore!.pdf
Il mio piano è preparato | Rossini, Gioachino | La gazza ladra | Bass | Il mio piano è preparato.pdf
Tocchiamo, beviamo | Rossini, Gioachino | La gazza ladra | Mezzo-soprano | Tocchiamo, beviamo.pdf
A questo seno | Rossini, Gioachino | La gazza ladra | Check (Lucia) | A questo seno.pdf
Deh tu reggi in tal momento | Rossini, Gioachino | La gazza ladra | Soprano | Deh tu reggi in tal momento.pdf
Di piacer mi balza il cor | Rossini, Gioachino | La gazza ladra | Soprano | Di piacer mi balza il cor.pdf
Vieni fra queste braccia | Rossini, Gioachino | La gazza ladra | Tenor | Vieni fra queste braccia.pdf
Stringhe e ferri da calzette | Rossini, Gioachino | La gazza ladra | Tenor | Stringhe e ferri da calzette.pdf
Quando la fama altera | Rossini, Gioachino | La gazzetta | Baritone | Quando la fama altera.pdf
La mia grazie | Rossini, Gioachino | La gazzetta | Bass | La mia grazie.pdf
Sempre in amore son io cosi | Rossini, Gioachino | La gazzetta | Mezzo-soprano | Sempre in amore son io cosi.pdf
Ah! se spiegar potessi | Rossini, Gioachino | La gazzetta | Soprano | Ah! se spiegar potessi.pdf
Eroi gli piu galanti | Rossini, Gioachino | La gazzetta | Soprano | Eroi gli piu galanti.pdf
Presto dico | Rossini, Gioachino | La gazzetta | Soprano | Presto dico.pdf
O lusinghiero amor | Rossini, Gioachino | La gazzetta | Tenor | O lusinghiero amor.pdf
Chi è colei che savvicina | Rossini, Gioachino | La pietra del paragone | Baritone | Chi è colei che savvicina.pdf
Quando avessi a prender moglie | Rossini, Gioachino | La pietra del paragone | Bass | Quando avessi a prender moglie.pdf
Quel dirmi o dio! | Rossini, Gioachino | La pietra del paragone | Mezzo-soprano | Quel dirmi o dio!.pdf
Se per voi le care io torna | Rossini, Gioachino | La pietra del paragone | Mezzo-soprano | Se per voi le care io torna.pdf
Quell'alme pupille | Rossini, Gioachino | La pietra del paragone | Tenor | Quell'alme pupille.pdf
Sento talor nell'anima | Rossini, Gioachino | La scala di seta | Check (Lucilla) | Sento talor nell'anima.pdf
Vedro qual sommo incanto | Rossini, Gioachino | La scala di seta | Check (Dorvill) | Vedro qual sommo incanto.pdf
Dans ce lieu solitaire | Rossini, Gioachino | Le comte Ory | Baritone | Dans ce lieu solitaire.pdf
Quest'e un affare | Rossini, Gioachino | Le comte Ory | Tenor | Quest'e un affare.pdf
Vegliar mai sempre | Rossini, Gioachino | Le comte Ory | Tenor | Vegliar mai sempre.pdf
Veiller sans cesse | Rossini, Gioachino | Le comte Ory | Bass | Veiller sans cesse.pdf
In questo solitario asilo | Rossini, Gioachino | Le comte Ory | Check (Roberto) | In questo solitario asilo.pdf
En proie à la tristesse | Rossini, Gioachino | Le comte Ory | Check (La Comtesse) | En proie à la tristesse.pdf
In seno alla tristezza | Rossini, Gioachino | Le comte Ory | Soprano | In seno alla tristezza.pdf
Astro sereno brilli | Rossini, Gioachino | Le comte Ory | Tenor | Astro sereno brilli.pdf
Que les destins prospères | Rossini, Gioachino | Le comte Ory | Tenor | Que les destins prospères.pdf
La gloire et la fortune | Rossini, Gioachino | Le siège de Corinthe | Bass | La gloire et la fortune.pdf
L'hymen lui donne une couronne | Rossini, Gioachino | Le siège de Corinthe | Check (Ismène) | L'hymen lui donne une couronne.pdf
Juste ciel! ah! ta clemence | Rossini, Gioachino | Le siège de Corinthe | Soprano | Juste ciel! ah! ta clemence.pdf
Que vais-je devenir | Rossini, Gioachino | Le siège de Corinthe | Soprano | Que vais-je devenir.pdf
Grand Dieu faut-il qu'un peuple qui t'adore | Rossini, Gioachino | Le siège de Corinthe | Check (Néoclès) | Grand Dieu faut-il qu'un peuple qui t'adore.pdf
All'invitto generoso | Rossini, Gioachino | Maometto II | Bass | All'invitto generoso.pdf
Sorgete sorgete | Rossini, Gioachino | Maometto II | Bass | Sorgete sorgete.pdf
Non temer d'un basso affetto | Rossini, Gioachino | Maometto II | Check (Calbo) | Non temer d'un basso affetto.pdf
Ah che invan su questo | Rossini, Gioachino | Maometto II | Soprano | Ah che invan su questo.pdf
Guisto Ciel, in tal periglio | Rossini, Gioachino | Maometto II | Soprano | Guisto Ciel, in tal periglio.pdf
Ah! perche perche la morte | Rossini, Gioachino | Matilde di Shabran | Check (Raimondo) | Ah! perche perche la morte.pdf
Piange il mio ciglio è vero | Rossini, Gioachino | Matilde di Shabran | Contralto | Piange il mio ciglio è vero.pdf
Ami alfin? E chi non ama? | Rossini, Gioachino | Matilde di Shabran | Soprano | Ami alfin E chi non ama.pdf
Qual orribile sciagura! | Rossini, Gioachino | Mosè in Egitto (Moïse et Pharaon) | Soprano | Qual orribile sciagura!.pdf
Ah! d'un' afflitta il duolo | Rossini, Gioachino | Mosè in Egitto (Moïse et Pharaon) | Soprano | Ah! d'un' afflitta il duolo.pdf
Assisa a piè d'un salice | Rossini, Gioachino | Otello, ossia Il moro di Venezia | Check (Desdemona) | Assisa a piè d'un salice.pdf
Ah come mai non senti | Rossini, Gioachino | Otello, ossia Il moro di Venezia | Check (Otello) | Ah come mai non senti.pdf
Ah! si per voi gia sento | Rossini, Gioachino | Otello, ossia Il moro di Venezia | Check (Otello) | Ah! si per voi gia sento.pdf
Salvami il Padre | Rossini, Gioachino | Ricciardo e Zoraide | Soprano | Salvami il Padre.pdf
Minacci pur: disprezzo quel tuo furor | Rossini, Gioachino | Ricciardo e Zoraide | Tenor | Minacci pur disprezzo quel tuo furor.pdf
Anges sur moi penchés | Rossini, Gioachino | Robert Bruce | Baritone | Anges sur moi penchés.pdf
Que ton ame si noble | Rossini, Gioachino | Robert Bruce | Bass | Que ton ame si noble.pdf
Que ton âme, si noble, si bonne | Rossini, Gioachino | Robert Bruce | Bass | Que ton âme, si noble, si bonne.pdf
Calme et pensive plage | Rossini, Gioachino | Robert Bruce | Check (Marie) | Calme et pensive plage.pdf
Ô saint amour première flamme | Rossini, Gioachino | Robert Bruce | Check (Marie) | Ô saint amour première flamme.pdf
Alerte, fillette | Rossini, Gioachino | Robert Bruce | Soprano | Alerte, fillette.pdf
La gloire est belle | Rossini, Gioachino | Robert Bruce | Tenor | La gloire est belle.pdf
Deh! ti ferma ti placa | Rossini, Gioachino | Semiramide | Check (Assur) | Deh! ti ferma ti placa.pdf
Eccomi alfine in Babilonia…Ah, quel giorno ognor rammento | Rossini, Gioachino | Semiramide | Check (Arsace) | Eccomi alfine in Babilonia…Ah, quel giorno ognor rammento.pdf
In sì barbara sciagura | Rossini, Gioachino | Semiramide | Check (Arsace) | In sì barbara sciagura.pdf
Al mio pregar | Rossini, Gioachino | Semiramide | Check (Semiramide) | Al mio pregar.pdf
Bel raggio lusinghier | Rossini, Gioachino | Semiramide | Check (Semiramide) | Bel raggio lusinghier.pdf
Ah, dov'è? | Rossini, Gioachino | Semiramide | Check (Idreno) | Ah, dov'è.pdf
La speranza più soave | Rossini, Gioachino | Semiramide | Check (Idreno) | La speranza più soave.pdf
Tu l'opra tua seconda | Rossini, Gioachino | Sigismondo | Bass | Tu l'opra tua seconda.pdf
Alma rea il piu infelice | Rossini, Gioachino | Sigismondo | Mezzo-soprano | Alma rea il piu infelice.pdf
Non seguirmi | Rossini, Gioachino | Sigismondo | Mezzo-soprano | Non seguirmi.pdf
Ah Signor nell'alma mia | Rossini, Gioachino | Sigismondo | Soprano | Ah Signor nell'alma mia.pdf
Sognava contenti | Rossini, Gioachino | Sigismondo | Mezzo-soprano | Sognava contenti.pdf
O tranquillo soggiorno… Oggetto amabile | Rossini, Gioachino | Sigismondo | Soprano | O tranquillo soggiorno… Oggetto amabile.pdf
Giusto Ciel che i mali miei | Rossini, Gioachino | Sigismondo | Tenor | Giusto Ciel che i mali miei.pdf
L'imago tiranna di lei | Rossini, Gioachino | Sigismondo | Tenor | L'imago tiranna di lei.pdf
Vidi ah no che allor sognai | Rossini, Gioachino | Sigismondo | Tenor | Vidi ah no che allor sognai.pdf
Tu che I miseri conforti | Rossini, Gioachino | Tancredi | Mezzo-soprano | Tu che I miseri conforti.pdf
Torni alfin ridente, e bella | Rossini, Gioachino | Tancredi | Mezzo-soprano | Torni alfin ridente, e bella.pdf
Di tanti palpiti | Rossini, Gioachino | Tancredi | Mezzo-soprano | Di tanti palpiti.pdf
Dove son io…Ah! che scordar non so | Rossini, Gioachino | Tancredi | Mezzo-soprano | Dove son io…Ah! che scordar non so.pdf
Perche turbar la calma | Rossini, Gioachino | Tancredi | Mezzo-soprano | Perche turbar la calma.pdf
Come dolce all'alma mia | Rossini, Gioachino | Tancredi | Soprano | Come dolce all'alma mia.pdf
Gran Dio!…Giusto Dio che umile adoro | Rossini, Gioachino | Tancredi | Soprano | Gran Dio!…Giusto Dio che umile adoro.pdf
No, che il morir non é | Rossini, Gioachino | Tancredi | Soprano | No, che il morir non é.pdf
Oh Dio!…Ah! segnar invano io tento | Rossini, Gioachino | Tancredi | Tenor | Oh Dio!…Ah! segnar invano io tento.pdf
Pensa che sei mia figlia | Rossini, Gioachino | Tancredi | Tenor | Pensa che sei mia figlia.pdf
Ah! già trascorse il dì | Rossini, Gioachino | Zelmira | Bass | Ah! già trascorse il dì.pdf
Ciel pietoso, ciel clemente | Rossini, Gioachino | Zelmira | Contralto | Ciel pietoso, ciel clemente.pdf
Riede al soglio | Rossini, Gioachino | Zelmira | Soprano | Riede al soglio.pdf
Che vidi! amici! | Rossini, Gioachino | Zelmira | Tenor | Che vidi! amici!.pdf
Mentre qual fiera ingorda | Rossini, Gioachino | Zelmira | Tenor | Mentre qual fiera ingorda.pdf
Sorte secondami | Rossini, Gioachino | Zelmira | Tenor | Sorte secondami.pdf
Terra amica, ove respira | Rossini, Gioachino | Zelmira | Tenor | Terra amica, ove respira.pdf
