Aria | Composer | Opera | PDF URL
----------------------------------------------------------------------------------------------------
O ruddier than the cherry      | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Baritone/O%20ruddier%20than%20the%20cherry.pdf
Cease to Beauty to be Suing    | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Bass/Cease%20to%20Beauty%20to%20be%20Suing.pdf
O Ruddier Than the Cherry!     | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Bass/O%20Ruddier%20Than%20the%20Cherry!.pdf
As When the Dove               | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Soprano/As%20When%20the%20Dove.pdf
Heart, Thou Seat of Soft Delight | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Soprano/Heart,%20Thou%20Seat%20of%20Soft%20Delight.pdf
Hush Ye Pretty Warbling Choir  | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Soprano/Hush%20Ye%20Pretty%20Warbling%20Choir.pdf
Oh! didst thou know the pains of absent love | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Soprano/Oh%20didst%20thou%20know.pdf
Love in her eyes sits playing  | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Tenor/Love%20in%20her%20eyes%20sits%20playing.pdf
Would you gain the tender creature | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Tenor/Would%20you%20gain%20the%20tender%20creature.pdf
Love in Her Eyes Sits Playing  | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Tenor/Love%20in%20Her%20Eyes%20Sits%20Playing.pdf
Love Sounds the Alarm          | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Tenor/Love%20Sounds%20the%20Alarm.pdf
Where Shall I seek the Charming Fair? | Handel, George Frideric                  | Acis and Galatea     | http://theoperadatabase.com/PDFs/Handel/Tenor/Where%20Shall%20I%20seek%20the%20Charming%20Fair.PDF
